title,text,subject,date,label,Sentiment
"As U.S. budget fight looms, Republicans flip their fiscal script",washington reuters head conservative republican faction us congress voted month huge expansion national debt pay tax cuts called fiscal conservative sunday urged budget restraint 2018 keeping sharp pivot way among republicans us representative mark meadows speaking cbs face nation drew hard line federal spending lawmakers bracing battle january return holidays wednesday lawmakers begin trying pass federal budget fight likely linked issues immigration policy even november congressional election campaigns approach republicans seek keep control congress president donald trump republicans want big budget increase military spending democrats also want proportional increases nondefense discretionary spending programs support education scientific research infrastructure public health environmental protection trump administration already willing say going increase nondefense discretionary spending 7 percent meadows chairman small influential house freedom caucus said program democrats saying thats enough need give government pay raise 10 11 percent fiscal conservative dont see rationale eventually run peoples money said meadows among republicans voted late december partys debtfinanced tax overhaul expected balloon federal budget deficit add 15 trillion 10 years 20 trillion national debt interesting hear mark talk fiscal responsibility democratic us representative joseph crowley said cbs crowley said republican tax bill would require united states borrow 15 trillion paid future generations finance tax cuts corporations rich one least fiscally responsible bills weve ever seen passed history house representatives think going paying many many years come crowley said republicans insist tax package biggest us tax overhaul 30 years boost economy job growth house speaker paul ryan also supported tax bill recently went meadows making clear radio interview welfare entitlement reform party often calls would top republican priority 2018 republican parlance entitlement programs mean food stamps housing assistance medicare medicaid health insurance elderly poor disabled well programs created washington assist needy democrats seized ryans early december remarks saying showed republicans would try pay tax overhaul seeking spending cuts social programs goals house republicans may take back seat senate votes democrats needed approve budget prevent government shutdown democrats use leverage senate republicans narrowly control defend discretionary nondefense programs social spending tackling issue dreamers people brought illegally country children trump september put march 2018 expiration date deferred action childhood arrivals daca program protects young immigrants deportation provides work permits president said recent twitter messages wants funding proposed mexican border wall immigration law changes exchange agreeing help dreamers representative debbie dingell told cbs favor linking issue policy objectives wall funding need daca clean said wednesday trump aides meet congressional leaders discuss issues followed weekend strategy sessions trump republican leaders jan 6 7 white house said trump also scheduled meet sunday florida republican governor rick scott wants emergency aid house passed 81 billion aid package hurricanes florida texas puerto rico wildfires california package far exceeded 44 billion requested trump administration senate yet voted aid,politicsNews,"December 31, 2017 ",1,Positive
U.S. military to accept transgender recruits on Monday: Pentagon,washington reuters transgender people allowed first time enlist us military starting monday ordered federal courts pentagon said friday president donald trumps administration decided appeal rulings blocked transgender ban two federal appeals courts one washington one virginia last week rejected administrations request put hold orders lower court judges requiring military begin accepting transgender recruits jan 1 justice department official said administration challenge rulings department defense announced releasing independent study issues coming weeks rather litigate interim appeal occurs administration decided wait dods study continue defend presidents lawful authority district court meantime official said speaking condition anonymity september pentagon said created panel senior officials study implement directive trump prohibit transgender individuals serving defense department feb 21 submit plan trump lawyers representing currentlyserving transgender service members aspiring recruits said expected administration appeal rulings conservativemajority supreme court hoping would happen pentagon spokeswoman heather babb said statement mandated court order department defense prepared begin accessing transgender applicants military service jan 1 applicants must meet accession standards jennifer levi lawyer gay lesbian transgender advocacy group glad called decision appeal great news im hoping means government come see way justify ban good military country levi said glad american civil liberties union represent plaintiffs lawsuits filed administration move appealed hardline conservative supporters trump announced july would prohibit transgender people serving military reversing democratic president barack obamas policy accepting trump said twitter time military burdened tremendous medical costs disruption transgender military would entail four federal judges baltimore washington dc seattle riverside california issued rulings blocking trumps ban legal challenges republican presidents policy proceed judges said ban would likely violate right us constitution equal protection law pentagon dec 8 issued guidelines recruitment personnel order enlist transgender applicants jan 1 memo outlined medical requirements specified applicants sex would identified even undergarments would wear trump administration previously said legal papers armed forces prepared train thousands personnel medical standards needed process transgender applicants might accept individuals medically fit service obama administration set deadline july 1 2017 begin accepting transgender recruits trumps defense secretary james mattis postponed date jan 1 2018 presidents ban put indefinitely trump taken steps aimed rolling back transgender rights october administration said federal law banning genderbased workplace discrimination protect transgender employees reversing another obamaera position february trump rescinded guidance issued obama administration saying public schools allow transgender students use restroom corresponds gender identity,politicsNews,"December 29, 2017 ",1,Positive
Senior U.S. Republican senator: 'Let Mr. Mueller do his job',washington reuters special counsel investigation links russia president trumps 2016 election campaign continue without interference 2018 despite calls trump administration allies republican lawmakers shut prominent republican senator said sunday lindsey graham serves senate armed forces judiciary committees said department justice special counsel robert mueller needs carry russia investigation without political interference investigation go forward investigation conducted without political influence graham said cbss face nation news program need let mr mueller job think hes right guy right time question russia may interfered election trumps campaign may links coordinated effort loomed white house since trump took office january shows sign receding trump prepares second year power despite intensified rhetoric trump allies recent weeks accusing muellers team bias republican president trump seemed undercut supporters interview last week new york times said expected mueller going fair russias role election question possible links trump campaign focus multiple inquiries washington three committees senate house representatives investigating well mueller whose team may took earlier probe launched us federal bureau investigation fbi several members trump campaign administration convicted indicted investigation trump allies deny collusion russia campaign kremlin denied meddling election graham said still wants examination fbis use dossier links trump russia compiled former british spy christopher steele prompted trump allies republicans question muellers inquiry saturday new york times reported dossier triggered early fbi probe tip former trump campaign foreign policy adviser george papadopoulos australian diplomat russia damaging information former trump rival hillary clinton want somebody look way department justice used dossier bothers greatly way used want somebody look graham said said russia investigation must continue matter fact would hurt us ignored said,politicsNews,"December 31, 2017 ",1,Positive
FBI Russia probe helped by Australian diplomat tip-off: NYT,washington reuters trump campaign adviser george papadopoulos told australian diplomat may 2016 russia political dirt democratic presidential candidate hillary clinton new york times reported saturday conversation papadopoulos diplomat alexander downer london driving factor behind fbis decision open counterintelligence investigation moscows contacts trump campaign times reported two months meeting australian officials passed information came papadopoulos american counterparts leaked democratic emails began appearing online according newspaper cited four current former us foreign officials besides information australians probe federal bureau investigation also propelled intelligence friendly governments including british dutch times said papadopoulos chicagobased international energy lawyer pleaded guilty oct 30 lying fbi agents contacts people claimed ties top russian officials first criminal charge alleging links trump campaign russia white house played former aides campaign role saying extremely limited actions took would new york times however reported papadopoulos helped set meeting thencandidate donald trump egyptian president abdel fattah alsisi edited outline trumps first major foreign policy speech april 2016 federal investigation led special counsel robert mueller hung trumps white house since took office almost year ago trump allies recently accused muellers team biased republican president lawyers papadopoulos immediately respond requests reuters comment muellers office declined comment trumps white house attorney ty cobb declined comment new york times report respect special counsel process commenting matters said statement mueller charged four trump associates including papadopoulos investigation russia denied interfering us election trump said collusion campaign moscow,politicsNews,"December 30, 2017 ",1,Negative
Trump wants Postal Service to charge 'much more' for Amazon shipments,seattlewashington reuters president donald trump called us postal service friday charge much ship packages amazon amzno picking another fight online retail giant criticized past united states post office losing many billions dollars year charging amazon others little deliver packages making amazon richer post office dumber poorer charging much trump wrote twitter presidents tweet drew fresh attention fragile finances postal service time tens millions parcels shipped country holiday season us postal service runs big loss independent agency within federal government receive tax dollars operating expenses according website package delivery become increasingly important part business internet led sharp decline amount firstclass letters president determine postal rates set postal regulatory commission independent government agency commissioners selected president political parties panel raised prices packages almost 2 percent november amazon founded jeff bezos remains chief executive officer retail company richest person world according bloomberg news bezos also owns washington post newspaper trump repeatedly railed criticisms news media tweets past year trump said amazon washington post fabricated stories said amazon pay sales tax true hurts retailers part pattern former businessman reality television host periodically turning ire big american companies since took office january daniel ives research analyst gbh insights said trumps comment could taken warning retail giant however said concerned amazon see price hikes future however risk amazon clearly aware building distribution system aggressively said amazon shown interest past shifting delivery service including testing drones deliveries 2015 company spent 115 billion shipping 46 percent total operating expenses year amazon shares 086 percent 117590 early afternoon overall us stock prices slightly friday satish jindel president shipmatrix inc analyzes shipping data disputed idea postal service charges less united parcel service inc upsn fedex corp fdxn biggest players parcel delivery business united states many customers get lower rates ups fedex would get post office comparable services said postal service delivers 62 percent amazon packages 35 4 million day current peak yearend holiday shipping season jindel said seattlebased company post office agreement mail carriers take amazon packages last leg journeys post offices customers doorsteps amazons 2 carrier ups 21 percent fedex third 8 percent according jindel trumps comment tapped debate whether postal service pricing kept pace rise ecommerce flooded mail small packagesprivate companies like ups long claimed current system unfairly undercuts business steve gaut spokesman ups noted company values productive relationship postal service filed postal regulatory commission concerns postal services methods covering costs representatives amazon white house us postal service fedex declined comment immediately available comment trumps tweet according annual report postal service lost 274 billion year deficit ballooned 6186 billion postal services revenue first class mail marketing mail periodicals flat declining revenue package delivery 44 percent since 2014 195 billion fiscal year ended sept 30 2017 also lost 2 billion revenue temporary surcharge expired april 2016 according government accountability office report february service facing growing personnel expenses particularly 734 billion unfunded pension benefits liabilities postal service announced plans cut costs law postal service set prices package delivery cover costs attributable service postal service allocates 55 percent total costs business shipping packages even though line business 28 percent total revenue,politicsNews,"December 29, 2017 ",1,Positive
"White House, Congress prepare for talks on spending, immigration",west palm beach flawashington reuters white house said friday set kick talks next week republican democratic congressional leaders immigration policy government spending issues need wrapped early new year expected flurry legislative activity comes republicans democrats begin set stage midterm congressional elections november president donald trumps republican party eager maintain control congress democrats look openings wrest seats away senate house representatives wednesday trumps budget chief mick mulvaney legislative affairs director marc short meet senate majority leader mitch mcconnell house speaker paul ryan republicans democratic counterparts senator chuck schumer representative nancy pelosi white house said followed weekend strategy sessions trump mcconnell ryan jan 6 7 camp david presidential retreat maryland according white house senate returns work jan 3 house jan 8 congress passed shortterm government funding bill last week taking christmas break needs come agreement defense spending various domestic programs jan 19 government shut also agenda lawmakers disaster aid people hit hurricanes puerto rico texas florida wildfires california house passed 81 billion package december senate take white house asked smaller figure 44 billion deadlines also loom soontoexpire protections young adult immigrants entered country illegally children known dreamers september trump ended democratic former president barack obamas deferred action childhood arrivals daca program protected dreamers deportation provided work permits effective march giving congress devise longterm solution democrats republicans number large companies pushed daca protections continue trump republicans said happen without congress approving broader immigration policy changes tougher border security democrats oppose funding wall promised trump along usmexican border democrats told fully understand daca without desperately needed wall southern border end horrible chain migration ridiculous lottery system immigration etc trump said twitter post friday trump wants overhaul immigration rules extended families others seeking live united states republican us senator jeff flake frequent critic president said would work trump protect dreamers fix daca way beefs border security stops chain migration dreamers addresses unfairness diversity lottery potus trump wants protect kids want help keep promise flake wrote twitter congress early 2018 also must raise us debt ceiling avoid government default us treasury would exhaust borrowing options run dry cash pay bills late march early april congress raise debt ceiling according nonpartisan congressional budget office trump first major legislative victory passage major tax overhaul month also promised major infrastructure plan,politicsNews,"December 29, 2017 ",1,Positive
"Trump says Russia probe will be fair, but timeline unclear: NYT",west palm beach fla reuters president donald trump said thursday believes fairly treated special counsel investigation russian meddling us presidential election said know long probe would last federal investigation hung trumps white house since took office almost year ago trump allies recent weeks accused team justice department special counsel robert mueller biased republican president interview new york times trump appeared shrug concerns investigation prompted us intelligence agencies conclusion russia tried help trump defeat democrat hillary clinton hacking releasing embarrassing emails disseminating propaganda theres collusion think hes going fair trump said times described 30minute impromptu interview golf club west palm beach florida mueller charged four trump associates investigation russia denied interfering us election us deputy attorney general rod rosenstein said month aware impropriety muellers team trumps lawyers saying weeks expected mueller investigation wrap quickly possibly end 2017 mueller commented long last trump told times know long investigation would take timingwise cant tell dont know said trump said thought prolonged probe makes country look bad said energized core supporters done really angered base made base stronger base strong ever said interview rare break trumps christmas vacation florida golfed day aside christmas day mainly kept low profile apart occasional flurry tweets spent one day golfing republican senator david perdue georgia pushed legislation cap immigration numbers dinner thursday commerce secretary wilbur ross international trade hawk trump told times hoped work democrats us congress spending plan fix roads infrastructure protections group undocumented immigrants brought united states children trump spoke trade issues saying backed hard line chinese trade practices hope beijing would pressure north korea end nuclear missile testing program said disappointed results also complained north american free trade agreement nafta administration attempting renegotiate talks mexico canada trump said canadian prime minister justin trudeau played importance canadian oil lumber exports united states looking balance trade two countries dont make right deal ill terminate nafta two seconds pretty good trump said,politicsNews,"December 29, 2017 ",1,Positive
"Factbox: Trump on Twitter (Dec 29) - Approval rating, Amazon",following statements posted verified twitter accounts us president donald trump realdonaldtrump potus opinions expressed reuters edited statements confirmed accuracy realdonaldtrump fake news loves talk socalled low approval rating foxandfriends showed rating dec 28 2017 approximately president obama dec 28 2009 47and despite massive negative trump coverage russia hoax 0746 est united states post office losing many billions dollars year charging amazon others little deliver packages making amazon richer post office dumber poorer charging much 0804 est source link bitly2jbh4lu bitly2jpexyr,politicsNews,"December 29, 2017 ",1,Positive
Trump on Twitter (Dec 28) - Global Warming,following statements posted verified twitter accounts us president donald trump realdonaldtrump potus opinions expressed reuters edited statements confirmed accuracy realdonaldtrump together making america great bitly2lnpkaq 1814 est east could coldest new years eve record perhaps could use little bit good old global warming country countries going pay trillions dollars protect bundle 1901 est source link bitly2jbh4lu bitly2jpexyr,politicsNews,"December 29, 2017 ",1,Positive
Alabama official to certify Senator-elect Jones today despite challenge: CNN,washington reuters alabama secretary state john merrill said certify democratic senatorelect doug jones winner thursday despite opponent roy moores challenge phone call cnn moore conservative faced allegations groping teenage girls 30s filed court challenge late wednesday outcome us senate election unexpectedly lost,politicsNews,"December 28, 2017 ",1,Positive
Jones certified U.S. Senate winner despite Moore challenge,reuters alabama officials thursday certified democrat doug jones winner states us senate race state judge denied challenge republican roy moore whose campaign derailed accusations sexual misconduct teenage girls jones vacant seat 22000 votes 16 percentage points election officials said made first democrat quarter century win senate seat alabama seat previously held republican jeff sessions tapped us president donald trump attorney general state canvassing board composed alabama secretary state john merrill governor kay ivey attorney general steve marshall certified election results seating jones narrow republican majority senate 51 100 seats statement jones called victory new chapter pledged work parties moore declined concede defeat even trump urged stood claims fraudulent election statement released certification said regrets media outlets reported alabama judge denied moores request block certification results dec 12 election decision shortly canvassing board met moores challenge alleged potential voter fraud denied chance victory filing wednesday montgomery circuit court sought halt meeting scheduled ratify jones win thursday moore could ask recount addition possible court challenges merrill said interview fox news channel would complete paperwork within timed period show money challenge merrill said weve notified yet intention merrill said regarding claim voter fraud merrill told cnn 100 cases reported weve adjudicated 60 continue said republican lawmakers washington distanced moore called drop race several women accused sexual assault misconduct dating back teenagers early 30s moore denied wrongdoing reuters able independently verify allegations,politicsNews,"December 28, 2017 ",1,Negative
