title,text,subject,date,label,Sentiment
 Donald Trump Sends Out Embarrassing New Year’s Eve Message; This is Disturbing,donald trump wish americans happy new year leave instead give shout enemies haters dishonest fake news media former reality show star one job country rapidly grows stronger smarter want wish friends supporters enemies haters even dishonest fake news media happy healthy new year president angry pants tweeted 2018 great year america country rapidly grows stronger smarter want wish friends supporters enemies haters even dishonest fake news media happy healthy new year 2018 great year america donald j trump realdonaldtrump december 31 2017trump tweet went welll expectwhat kind president sends new year greeting like despicable petty infantile gibberish trump lack decency even allow rise gutter long enough wish american citizens happy new year bishop talbert swan talbertswan december 31 2017no one likes calvin calvinstowell december 31 2017your impeachment would make 2018 great year america also accept regaining control congress miranda yaver mirandayaver december 31 2017do hear talk include many people hate wonder hate alan sandoval alansandoval13 december 31 2017who uses word haters new years wish marlene marlene399 december 31 2017you say happy new year koren pollitt korencarpenter december 31 2017here trump new year eve tweet 2016happy new year including many enemies fought lost badly know love donald j trump realdonaldtrump december 31 2016this nothing new trump yearstrump directed messages enemies haters new year easter thanksgiving anniversary 911 pictwittercom4fpae2kypa daniel dale ddale8 december 31 2017trump holiday tweets clearly presidentialhow long work hallmark becoming president steven goodine sgoodine december 31 2017he always like difference last years filter breaking roy schulze thbthttt december 31 2017who apart teenager uses term haters wendy wendywhistles december 31 2017he fucking 5 year old knows rainyday80 december 31 2017so people voted hole thinking would change got power wrong 70yearold men change year olderphoto andrew burtongetty images,News,"December 31, 2017",0,Positive
 Drunk Bragging Trump Staffer Started Russian Collusion Investigation,house intelligence committee chairman devin nunes going bad day assumption like many us christopher steeledossier prompted russia investigation lashing department justice fbi order protect trump happens dossier started investigation according documents obtained new york timesformer trump campaign adviser george papadopoulos drunk wine bar revealed knowledge russian opposition research hillary clintonon top papadopoulos covfefe boy trump administration alleged much larger role none damning drunken fool wine bar coffee boys help arrange new york meeting trump president abdel fattah elsisi egypt two months election known former aide set meetings world leaders trump team trump ran merely coffee boyin may 2016 papadopoulos revealed australian diplomat alexander downer russian officials shopping around possible dirt thendemocratic presidential nominee hillary clinton exactly much mr papadopoulos said night kensington wine rooms australian alexander downer unclear report states two months later leaked democratic emails began appearing online australian officials passed information mr papadopoulos american counterparts according four current former american foreign officials direct knowledge australians role papadopoulos pleaded guilty lying fbi cooperating witness special counsel robert mueller teamthis presidency badly scripted reality tv showphoto win mcnameegetty images,News,"December 31, 2017",0,Positive
 Sheriff David Clarke Becomes An Internet Joke For Threatening To Poke People ‘In The Eye’,friday revealed former milwaukee sheriff david clarke considered homeland security secretary donald trump administration email scandal ownin january brief runin plane clarke fellow passenger dan black later detained police reason whatsoever except maybe feelings hurt clarke messaged police stop black deplaned search warrant executed fbi see exchangesclarke calling fake news even though copies search warrant internet unintimidated lib media attempts smear discredit fake news reports designed silence former sheriff tweeted continue poke eye sharp stick bitch slap scum bags til get attacked better people maga unintimidated lib media attempts smear discredit fake news reports designed silence continue poke eye sharp stick bitch slap scum bags til get attacked better people maga pictwittercomxtzw5pdu2b david clarke jr sheriffclarke december 30 2017he stop therebreaking news lying lib media makes fake news smear antidote go right punch nose make taste blood nothing gets bully like lying lib media attention better give taste blood neverbackdown pictwittercomt2ny2pshcr david clarke jr sheriffclarke december 30 2017the internet called outthis local newspaper search warrant fake chose file charges time mean especially continue lie months decision charge clarke email search warrant filed httpstcozcbyc4wp5b keithleblanc keithleblanc63 december 30 2017i hope rest village people implicated kirk ketchum kirkketchum december 30 2017slaw baked potatoes french fries pictwittercomfwfxszupxy alt immigration altuscis december 30 2017pictwittercomymsobljfxu pendulum swinger pendulumswngr december 30 2017you called police friends stand someone made fun hat chris jackson chriscjackson december 30 2017is masterful pshop hat seem never tire think steely resolve one visible eye pictwittercomdwr5k8zezv chris mohney chrismohney december 30 2017are indicating fingers many people died jail think fingers short dipshit ike barinholtz ikebarinholtz december 30 2017rofl internet tough guy fake flair pictwittercomulcfddhkdy kellmecrazy kelmoonface december 30 2017you edgy buddy mrs smh mrssmh2 december 30 2017is break applebees aaron feltrrr2 december 30 2017are trying earn still relevant badge circusrebel circusdrew december 30 2017make sure hydrate drink lots water rumored prisoners denied water prison officials robert klinc robertklinc1 december 30 2017terrill thomas 38yearold black man died thirst clarke milwaukee county jail cell april victim homicide thought point repeated enoughphoto spencer plattgetty images,News,"December 30, 2017",0,Negative
 Trump Is So Obsessed He Even Has Obama’s Name Coded Into His Website (IMAGES),christmas day donald trump announced would back work following day golfing fourth day row former reality show star blasted former president barack obama playing golf trump track outpace number golf games predecessor playedupdated tracker trump appearances trump properties71 rounds golf including today pace pass obama firstterm total july 24 next year httpstcofg7vacxrtj pictwittercom5gemcjqtbh philip bump pbump december 29 2017 makes washington post reporter discovered trump website really weird everything administration bizarre af coding contained reference obama golf unlike obama working fix problem golf course however coding done correctlythe website donald trump spent several days row golf course coded serve following message event internal server error httpstcozrwpymxrcz pictwittercomwiqsqnnzw0 christopher ingraham cingraham december 28 2017that snippet code appears httpstcodkhw0alhb4 pages footer says paid rnc pictwittercomoazdt126b3 christopher ingraham cingraham december 28 2017it also httpstcoayblgmk65z others noted thread weird code clear would ever actually display knows christopher ingraham cingraham december 28 2017after coding called reference obama deletedupdate golf error message removed trump gop websites also fixed javascript vs problem still clear messages would actually display since actual 404 presumably 500 page displays different message pictwittercomz7dmyq5smy christopher ingraham cingraham december 29 2017that suggests someone either rnc trump admin sensitive enough trump golf problem make issue go away quickly people noticed idea much love see email exchange led us christopher ingraham cingraham december 29 2017 code fcked upthe best part using assignment operator means bit code never get run look lines errorcode always 404 tw1trsux december 28 2017trump coders code nobody surprised tim peterson timrpeterson december 28 2017donald trump obsessed obama name even coding website played golf againphoto joe raedlegetty images,News,"December 29, 2017",0,Positive
 Pope Francis Just Called Out Donald Trump During His Christmas Speech,pope francis used annual christmas day message rebuke donald trump without even mentioning name pope delivered message days members united nations condemned trump move recognize jerusalem capital israel pontiff prayed monday peaceful coexistence two states within mutually agreed internationally recognized borders see jesus children middle east continue suffer growing tensions israelis palestinians francis said festive day let us ask lord peace jerusalem holy land let us pray resume dialogue may prevail parties negotiated solution finally reached pope went plead acceptance refugees forced homes issue trump continues fight francis used jesus place inn analogy today winds war blowing world outdated model development continues produce human societal environmental decline christmas invites us focus sign child recognize faces little children especially like jesus place inn said jesus knows well pain welcomed hard place lay one head added may hearts closed homes bethlehem pope said mary joseph immigrants struggled find safe place stay bethlehem leave people home land francis said comfortable easy journey young couple child heart full hope expectation child born yet steps weighed uncertainties dangers attend leave home behind many footsteps hidden footsteps joseph mary francis said sunday see tracks entire families forced set day see tracks millions persons choose go away driven land leave behind dear ones amen thatphoto christopher furlonggetty images,News,"December 25, 2017",0,Positive
 Racist Alabama Cops Brutalize Black Boy While He Is In Handcuffs (GRAPHIC IMAGES),number cases cops brutalizing killing people color seems see end another case needs shared far wide alabama woman name angela williams shared graphic photo son lying hospital bed beaten fractured face facebook needs shared far wide unacceptableit unclear williams son police custody sort altercation resulted arrest see photo realize details matter cops supposed beat brutalize custody post see ms williams expresses hope cops body cameras beating son think know kind convenient malfunction explain away lack existence dash body camera footage clearly brutal beating hell could even described attempted murder something tells young man never without ado troy alabama finest decided appropriate treatment angela williams sonno matter perceived crime young man might completely unacceptable cops need rot jail long long time wan na bet get paid vacation force investigates officers returned duty posthastethis folks say black lives matter way hell would happened angela williams son white please share far wide stay tuned addicting info updatesfeatured image via david mcnewstringergetty images,News,"December 25, 2017",0,Negative
" Fresh Off The Golf Course, Trump Lashes Out At FBI Deputy Director And James Comey",donald trump spent good portion day golf club marking 84th day done since taking oath office must bad game trump lashed fbi deputy director andrew mccabe twitter following report saying mccabe plans retire months report follows mccabe testimony front congressional committees week well mounting criticism republicans regarding russia probeso naturally trump attacked mccabe lie fbi deputy director andrew mccabe man charge along leakin james comey phony hillary clinton investigation including 33000 illegally deleted emails given 700000 wife campaign clinton puppets investigation trump tweetedhow fbi deputy director andrew mccabe man charge along leakin james comey phony hillary clinton investigation including 33000 illegally deleted emails given 700000 wife campaign clinton puppets investigation donald j trump realdonaldtrump december 23 2017he stop therefbi deputy director andrew mccabe racing clock retire full benefits 90 days go donald j trump realdonaldtrump december 23 2017wow fbi lawyer james baker reassigned according foxnews donald j trump realdonaldtrump december 23 2017with intel trump disposal getting information fox news mccabe spent career fight terrorism attacked socalled president trump factchecked claim wife receiving 700000 campaignpolitifact noted late july trump tweet andrew mccabe significant distortion facts implication mccabe got clinton political favor make much sense look evidence july tweet rated mostly false trump repeats lies knows supporters believe without bothering google still lie thoughphoto zach gibson poolgetty images,News,"December 23, 2017",0,Negative
" Trump Said Some INSANELY Racist Stuff Inside The Oval Office, And Witnesses Back It Up",wake yet another court decision derailed donald trump plan bar muslims entering united states new york times published report saturday morning detailing president frustration getting way far back frustration goesaccording article back june trump stomped oval office furious state travel ban thought would implemented fully place instead fumed visas already issued immigrants rate friends calling say looked like fool making broad pronouncementsit trump began reading document top advisor noted white supremacist stephen miller handed meeting cabinet page listed many visas issued year included 2500 afghanistan country travel ban 15000 haiti also included 40000 nigeria sensing pattern yet trump expressed dismay eachaccording witnesses room spoke times condition anonymity interviewed along three dozen others article trump called country faults read afghanistan terrorist people nigeria would never go back huts saw glory america immigrants haiti aids despite extensive research done newspaper white house course denies language usedbut given trump racist history advisor stephen miller blatant white nationalism would surprise freedom information act request turned document question statements printed inline commentary president punctuate anger miller responsible american carnage speech trump delivered inaugurationthis racist menace america represent anything country stands let hope indictments robert mueller way speakfeatured image via chris kleponispoolgetty images,News,"December 23, 2017",0,Negative
" Former CIA Director Slams Trump Over UN Bullying, Openly Suggests He’s Acting Like A Dictator (TWEET)",many people raised alarm regarding fact donald trump dangerously close becoming autocrat thing democracies become autocracies right people noses often look like democracies beginning phases explained republican david frum couple months donald trump presidency piece atlantic called build autocracy fact really look critically happening right systematic discrediting vital institutions free press federal bureau investigation well direct weaponization department justice order go trump former political opponent 2016 democratic nominee hillary clinton makings autocracy well way one chamber congress house representatives already rogue band republicans running parallel investigation official russian collusion investigation explicit intent undermining discrediting idea trump could possibly done anything wrong russians order swing 2016 election favorall starters trump making united nations ambassador nikki haley bully threaten countries united nations voted trump decision change us policy comes recognition jerusalem capital jewish state well one expert usually quite measured enough trump autocratic antics former cia director john brennan seasoned spy took trump favorite platform twitter blasted decisiontrump admin threat retaliate nations exercise sovereign right un oppose us position jerusalem beyond outrageous shows realdonaldtrump expects blind loyalty subservience everyone qualities usually found narcissistic vengeful autocrats john brennan johnbrennan december 21 2017director brennan correct course trump behaving like autocrat many people nation asleep comes dangerous age greatest threat democracy fabric republic american president fellow americans know gopled congress check trump supposed time get flip house possibly senate 2018 resist meantime want save country devolving something looks like russia north korea america always know already well wayfeatured image via brendan smialowskiafpgetty images,News,"December 22, 2017",0,Positive
 WATCH: Brand-New Pro-Trump Ad Features So Much A** Kissing It Will Make You Sick,might thought get break watching people kiss donald trump ass stroke ego ad nauseam protrump group creates ad nothing people even exact things america first policies set release ad called thank president trump christmas day well threw little mouths trying watch thisbasically spot nothing people fawning trump stuff actually done ad includes scene little girl thanking trump bringing back merry christmas never went away even videos president obama saying merry christmas man thanks cutting taxes america first says everyday americans everywhere thanking trump great awesome presidentthe best presidentnobody ever done done breaking kinds records every daybelieve usanyway word propaganda comes mind watching literal propaganda promoting someone need kind promotion anymore watch ad bullshit belowthe way magas kowtowing orange hitler disgusting frightening man done nothing policies harm americans thanking unfortunately take obscene amount pain open eyes see duped con man bad hairdoand ongoing need kind adoration best unbecoming office ad vilefeatured image via al dragopoolgetty images,News,"December 21, 2017",0,Positive
